
2024/07/30 (03:54:55) | ===> btop++ v.1.3.2
2024/08/20 (00:58:00) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:00) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:00) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:00) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:00) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:00) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:00) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:00) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:02) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:02) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:02) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:02) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:02) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:02) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:02) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:02) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:02) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:04) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:04) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:04) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:04) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:04) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:04) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:04) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:04) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:04) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:06) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:06) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:06) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:06) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:06) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:06) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:06) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:06) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:06) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:08) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:08) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:08) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:08) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:08) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:08) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:08) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:08) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:08) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:10) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:10) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:10) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:10) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:10) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:10) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:10) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:10) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:10) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:12) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:12) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:12) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:12) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:12) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:12) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:12) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:12) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:12) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:14) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:14) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:14) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:14) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:14) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:14) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:14) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:14) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:14) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:16) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:16) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:16) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:16) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:16) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:16) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:16) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:16) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:16) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:18) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:18) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:18) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:18) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:18) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:18) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:18) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:18) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:18) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:20) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:20) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:20) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:20) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:20) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:20) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:20) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:20) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:20) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:22) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:22) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:22) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:22) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:22) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:22) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:22) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:22) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:22) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:24) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:24) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:24) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:24) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:24) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:24) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:24) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:24) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:24) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:26) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:26) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:26) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:26) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:26) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:26) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:26) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:26) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:26) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:28) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:28) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:28) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:28) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:28) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:28) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:28) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:28) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:28) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:30) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:30) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:30) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:30) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:30) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:30) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:30) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:30) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:30) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:32) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:32) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:32) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:32) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:32) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:32) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:32) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:32) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:32) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:34) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:34) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:34) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:34) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:34) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:34) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:34) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:34) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:34) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:36) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:36) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:36) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:36) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:36) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:36) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:36) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:36) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:36) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:38) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:38) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:38) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:38) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:38) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:38) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:38) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:38) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:38) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:40) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
